,East_Sidewalk,West_Sidewalk,Total_Traffic,East_Traffic,West_Traffic
2012-10-03 00:00:00,9.0,4.0,13.0,,
2012-10-03 01:00:00,6.0,4.0,10.0,,
2012-10-03 02:00:00,1.0,1.0,2.0,,
2012-10-03 03:00:00,3.0,2.0,5.0,,
2012-10-03 04:00:00,1.0,6.0,7.0,,
2012-10-03 05:00:00,10.0,21.0,31.0,,
2012-10-03 06:00:00,50.0,105.0,155.0,,
2012-10-03 07:00:00,95.0,257.0,352.0,,
2012-10-03 08:00:00,146.0,291.0,437.0,,
2012-10-03 09:00:00,104.0,172.0,276.0,,
2012-10-03 10:00:00,46.0,72.0,118.0,,
2012-10-03 11:00:00,32.0,10.0,42.0,,
2012-10-03 12:00:00,41.0,35.0,76.0,,
2012-10-03 13:00:00,48.0,42.0,90.0,,
2012-10-03 14:00:00,51.0,77.0,128.0,,
2012-10-03 15:00:00,92.0,72.0,164.0,,
2012-10-03 16:00:00,182.0,133.0,315.0,,
2012-10-03 17:00:00,391.0,192.0,583.0,,
2012-10-03 18:00:00,258.0,122.0,380.0,,
2012-10-03 19:00:00,69.0,59.0,128.0,,
2012-10-03 20:00:00,51.0,29.0,80.0,,
2012-10-03 21:00:00,38.0,25.0,63.0,,
2012-10-03 22:00:00,25.0,24.0,49.0,,
2012-10-03 23:00:00,12.0,5.0,17.0,,
2012-10-04 00:00:00,11.0,7.0,18.0,,
2012-10-04 01:00:00,0.0,3.0,3.0,,
2012-10-04 02:00:00,6.0,3.0,9.0,,
2012-10-04 03:00:00,3.0,0.0,3.0,,
2012-10-04 04:00:00,1.0,7.0,8.0,,
2012-10-04 05:00:00,11.0,15.0,26.0,,
2012-10-04 06:00:00,51.0,91.0,142.0,,
2012-10-04 07:00:00,89.0,230.0,319.0,,
2012-10-04 08:00:00,134.0,284.0,418.0,,
2012-10-04 09:00:00,94.0,147.0,241.0,,
2012-10-04 10:00:00,53.0,67.0,120.0,,
2012-10-04 11:00:00,55.0,53.0,108.0,,
2012-10-04 12:00:00,50.0,54.0,104.0,,
2012-10-04 13:00:00,71.0,55.0,126.0,,
2012-10-04 14:00:00,56.0,63.0,119.0,,
2012-10-04 15:00:00,74.0,73.0,147.0,,
2012-10-04 16:00:00,161.0,114.0,275.0,,
2012-10-04 17:00:00,353.0,154.0,507.0,,
2012-10-04 18:00:00,241.0,137.0,378.0,,
2012-10-04 19:00:00,107.0,57.0,164.0,,
2012-10-04 20:00:00,56.0,27.0,83.0,,
2012-10-04 21:00:00,39.0,31.0,70.0,,
2012-10-04 22:00:00,21.0,25.0,46.0,,
2012-10-04 23:00:00,30.0,11.0,41.0,,
2012-10-05 00:00:00,7.0,4.0,11.0,,
2012-10-05 01:00:00,4.0,4.0,8.0,,
2012-10-05 02:00:00,3.0,4.0,7.0,,
2012-10-05 03:00:00,2.0,2.0,4.0,,
2012-10-05 04:00:00,2.0,7.0,9.0,,
2012-10-05 05:00:00,7.0,18.0,25.0,,
2012-10-05 06:00:00,37.0,68.0,105.0,,
2012-10-05 07:00:00,101.0,218.0,319.0,,
2012-10-05 08:00:00,119.0,251.0,370.0,,
2012-10-05 09:00:00,81.0,131.0,212.0,,
2012-10-05 10:00:00,48.0,71.0,119.0,,
2012-10-05 11:00:00,61.0,43.0,104.0,,
2012-10-05 12:00:00,46.0,55.0,101.0,,
2012-10-05 13:00:00,50.0,62.0,112.0,,
2012-10-05 14:00:00,62.0,63.0,125.0,,
2012-10-05 15:00:00,84.0,80.0,164.0,,
2012-10-05 16:00:00,190.0,120.0,310.0,,
2012-10-05 17:00:00,290.0,144.0,434.0,,
2012-10-05 18:00:00,209.0,107.0,316.0,,
2012-10-05 19:00:00,73.0,42.0,115.0,,
2012-10-05 20:00:00,41.0,27.0,68.0,,
2012-10-05 21:00:00,31.0,11.0,42.0,,
2012-10-05 22:00:00,26.0,10.0,36.0,,
2012-10-05 23:00:00,16.0,16.0,32.0,,
2012-10-06 00:00:00,7.0,8.0,15.0,,
2012-10-06 01:00:00,5.0,10.0,15.0,,
2012-10-06 02:00:00,2.0,7.0,9.0,,
2012-10-06 03:00:00,2.0,1.0,3.0,,
2012-10-06 04:00:00,1.0,4.0,5.0,,
2012-10-06 05:00:00,2.0,3.0,5.0,,
2012-10-06 06:00:00,15.0,12.0,27.0,,
2012-10-06 07:00:00,16.0,17.0,33.0,,
2012-10-06 08:00:00,47.0,58.0,105.0,,
2012-10-06 09:00:00,55.0,59.0,114.0,,
2012-10-06 10:00:00,47.0,68.0,115.0,,
2012-10-06 11:00:00,48.0,76.0,124.0,,
2012-10-06 12:00:00,73.0,91.0,164.0,,
2012-10-06 13:00:00,82.0,95.0,177.0,,
2012-10-06 14:00:00,114.0,89.0,203.0,,
2012-10-06 15:00:00,96.0,115.0,211.0,,
2012-10-06 16:00:00,76.0,107.0,183.0,,
2012-10-06 17:00:00,73.0,107.0,180.0,,
2012-10-06 18:00:00,55.0,41.0,96.0,,
2012-10-06 19:00:00,38.0,40.0,78.0,,
2012-10-06 20:00:00,18.0,25.0,43.0,,
2012-10-06 21:00:00,15.0,18.0,33.0,,
2012-10-06 22:00:00,20.0,14.0,34.0,,
2012-10-06 23:00:00,19.0,15.0,34.0,,
2012-10-07 00:00:00,5.0,6.0,11.0,,
2012-10-07 01:00:00,5.0,12.0,17.0,,
2012-10-07 02:00:00,1.0,2.0,3.0,,
2012-10-07 03:00:00,2.0,4.0,6.0,,
2012-10-07 04:00:00,2.0,1.0,3.0,,
2012-10-07 05:00:00,3.0,6.0,9.0,,
2012-10-07 06:00:00,8.0,9.0,17.0,,
2012-10-07 07:00:00,12.0,14.0,26.0,,
2012-10-07 08:00:00,26.0,43.0,69.0,,
2012-10-07 09:00:00,36.0,67.0,103.0,,
2012-10-07 10:00:00,41.0,67.0,108.0,,
2012-10-07 11:00:00,71.0,94.0,165.0,,
2012-10-07 12:00:00,91.0,100.0,191.0,,
2012-10-07 13:00:00,99.0,129.0,228.0,,
2012-10-07 14:00:00,115.0,126.0,241.0,,
2012-10-07 15:00:00,109.0,122.0,231.0,,
